People,Families,Locations,Events,TextChunk
Julia Ta,Finance,"Paris, France",Engaged in Blockchain for Finance Webinar,"Julia Ta is part of the Finance team, based in Paris, France, and recently engaged in blockchain for finance webinar."
Samuel Vu,Management,"Bangalore, India",Joined Team Building Offsite in Da Nang,"Samuel Vu is part of the Management team, based in Bangalore, India, and recently joined team building offsite in da nang."
Isaac Bui,Operations,"Hanoi, Vietnam",Joined Cross-Cultural Communication Workshop,"Isaac Bui is part of the Operations team, based in Hanoi, Vietnam, and recently joined cross-cultural communication workshop."
Alice Trinh,Marketing,"Ho Chi Minh City, Vietnam",Joined Team Building Offsite in Da Nang,"Alice Trinh is part of the Marketing team, based in Ho Chi Minh City, Vietnam, and recently joined team building offsite in da nang."
Paul Do,Customer Success,"Da Nang, Vietnam",Completed AWS Cloud Practitioner Certification,"Paul Do is part of the Customer Success team, based in Da Nang, Vietnam, and recently completed aws cloud practitioner certification."
Hannah Trinh,Product,"Jakarta, Indonesia",Participated in Regional Hackathon 2024,"Hannah Trinh is part of the Product team, based in Jakarta, Indonesia, and recently participated in regional hackathon 2024."
Alice Mai,Sales,"Jakarta, Indonesia",Spoke at the Annual Finance Forum,"Alice Mai is part of the Sales team, based in Jakarta, Indonesia, and recently spoke at the annual finance forum."
Victor Nguyen,Finance,"New Delhi, India",Participated in Regional Hackathon 2024,"Victor Nguyen is part of the Finance team, based in New Delhi, India, and recently participated in regional hackathon 2024."
Paul Ngo,Finance,"Kuala Lumpur, Malaysia",Attended Agile Project Management Workshop,"Paul Ngo is part of the Finance team, based in Kuala Lumpur, Malaysia, and recently attended agile project management workshop."
Hannah Ton,Data Science,"Melbourne, Australia",Joined Team Building Offsite in Da Nang,"Hannah Ton is part of the Data Science team, based in Melbourne, Australia, and recently joined team building offsite in da nang."
Nathan Huynh,Sales,"Da Nang, Vietnam",Attended AI for Business Leaders Webinar,"Nathan Huynh is part of the Sales team, based in Da Nang, Vietnam, and recently attended ai for business leaders webinar."
Julia Ta,Data Science,"New Delhi, India",Joined International Business Roundtable,"Julia Ta is part of the Data Science team, based in New Delhi, India, and recently joined international business roundtable."
Tina Pham,Data Science,"Manila, Philippines",Attended Remote Work Productivity Webinar,"Tina Pham is part of the Data Science team, based in Manila, Philippines, and recently attended remote work productivity webinar."
Nathan Dang,Finance,"Ho Chi Minh City, Vietnam",Presented at Internal Innovation Day,"Nathan Dang is part of the Finance team, based in Ho Chi Minh City, Vietnam, and recently presented at internal innovation day."
Quinn Hoang,Customer Success,"Seoul, South Korea",Volunteered at Community Tech Fair,"Quinn Hoang is part of the Customer Success team, based in Seoul, South Korea, and recently volunteered at community tech fair."
Olivia Nguyen,Marketing,"London, UK",Volunteered at Community Tech Fair,"Olivia Nguyen is part of the Marketing team, based in London, UK, and recently volunteered at community tech fair."
Paul Pham,Marketing,"Sydney, Australia",Participated in Regional Hackathon 2024,"Paul Pham is part of the Marketing team, based in Sydney, Australia, and recently participated in regional hackathon 2024."
Bob Luong,Product,"Berlin, Germany",Attended Remote Work Productivity Webinar,"Bob Luong is part of the Product team, based in Berlin, Germany, and recently attended remote work productivity webinar."
George Ngo,Human Resources,"Ho Chi Minh City, Vietnam",Attended Agile Project Management Workshop,"George Ngo is part of the Human Resources team, based in Ho Chi Minh City, Vietnam, and recently attended agile project management workshop."
Charlie Chau,Operations,"New Delhi, India",Completed Advanced Cybersecurity Training,"Charlie Chau is part of the Operations team, based in New Delhi, India, and recently completed advanced cybersecurity training."
Samuel Ly,Human Resources,"Manila, Philippines",Completed Advanced Cybersecurity Training,"Samuel Ly is part of the Human Resources team, based in Manila, Philippines, and recently completed advanced cybersecurity training."
Laura Ngo,Marketing,"Bangkok, Thailand",Volunteered at Community Tech Fair,"Laura Ngo is part of the Marketing team, based in Bangkok, Thailand, and recently volunteered at community tech fair."
George Bui,Product,"Berlin, Germany",Presented at Internal Innovation Day,"George Bui is part of the Product team, based in Berlin, Germany, and recently presented at internal innovation day."
Alice Hoang,Management,"Mumbai, India",Joined Cross-Cultural Communication Workshop,"Alice Hoang is part of the Management team, based in Mumbai, India, and recently joined cross-cultural communication workshop."
Fiona Ly,Operations,"Mumbai, India",Participated in Regional Hackathon 2024,"Fiona Ly is part of the Operations team, based in Mumbai, India, and recently participated in regional hackathon 2024."
Samuel Bui,Product,"Kuala Lumpur, Malaysia",Completed AWS Cloud Practitioner Certification,"Samuel Bui is part of the Product team, based in Kuala Lumpur, Malaysia, and recently completed aws cloud practitioner certification."
Alice Do,Marketing,Singapore,Presented at Internal Innovation Day,"Alice Do is part of the Marketing team, based in Singapore, and recently presented at internal innovation day."
Quinn Ta,Legal,"Bangkok, Thailand",Finished Data Analytics with Python Course,"Quinn Ta is part of the Legal team, based in Bangkok, Thailand, and recently finished data analytics with python course."
Rachel Pham,Management,"London, UK",Engaged in Blockchain for Finance Webinar,"Rachel Pham is part of the Management team, based in London, UK, and recently engaged in blockchain for finance webinar."
Laura Ngo,Sales,"London, UK",Presented at Internal Innovation Day,"Laura Ngo is part of the Sales team, based in London, UK, and recently presented at internal innovation day."
Bob Chau,Human Resources,"London, UK",Presented at Internal Innovation Day,"Bob Chau is part of the Human Resources team, based in London, UK, and recently presented at internal innovation day."
Quinn Luong,Human Resources,"Jakarta, Indonesia",Engaged in Blockchain for Finance Webinar,"Quinn Luong is part of the Human Resources team, based in Jakarta, Indonesia, and recently engaged in blockchain for finance webinar."
Isaac Chau,Product,"Tokyo, Japan",Joined International Business Roundtable,"Isaac Chau is part of the Product team, based in Tokyo, Japan, and recently joined international business roundtable."
Kevin Hoang,Sales,"Ho Chi Minh City, Vietnam",Completed Emotional Intelligence Training,"Kevin Hoang is part of the Sales team, based in Ho Chi Minh City, Vietnam, and recently completed emotional intelligence training."
Quinn Do,Management,"Berlin, Germany",Presented at Internal Innovation Day,"Quinn Do is part of the Management team, based in Berlin, Germany, and recently presented at internal innovation day."
Hannah Ly,Engineering,"Bangkok, Thailand",Completed Advanced Cybersecurity Training,"Hannah Ly is part of the Engineering team, based in Bangkok, Thailand, and recently completed advanced cybersecurity training."
Samuel Vu,Product,"Da Nang, Vietnam",Volunteered at Community Tech Fair,"Samuel Vu is part of the Product team, based in Da Nang, Vietnam, and recently volunteered at community tech fair."
Samuel Chau,Customer Success,"Hanoi, Vietnam",Participated in Regional Hackathon 2024,"Samuel Chau is part of the Customer Success team, based in Hanoi, Vietnam, and recently participated in regional hackathon 2024."
George Nguyen,Sales,Singapore,Completed Leadership Training Bootcamp,"George Nguyen is part of the Sales team, based in Singapore, and recently completed leadership training bootcamp."
George Le,Sales,"New Delhi, India",Spoke at the Annual Finance Forum,"George Le is part of the Sales team, based in New Delhi, India, and recently spoke at the annual finance forum."
Kevin Luong,Product,"New Delhi, India",Participated in Regional Hackathon 2024,"Kevin Luong is part of the Product team, based in New Delhi, India, and recently participated in regional hackathon 2024."
Laura Luong,Product,"Beijing, China",Presented at Internal Innovation Day,"Laura Luong is part of the Product team, based in Beijing, China, and recently presented at internal innovation day."
Olivia Vu,Engineering,"Shanghai, China",Engaged in Blockchain for Finance Webinar,"Olivia Vu is part of the Engineering team, based in Shanghai, China, and recently engaged in blockchain for finance webinar."
Charlie Ta,Human Resources,"Seoul, South Korea",Attended Remote Work Productivity Webinar,"Charlie Ta is part of the Human Resources team, based in Seoul, South Korea, and recently attended remote work productivity webinar."
Edward Trinh,Sales,"Bangalore, India",Engaged in Blockchain for Finance Webinar,"Edward Trinh is part of the Sales team, based in Bangalore, India, and recently engaged in blockchain for finance webinar."
Olivia Ly,Operations,"Mumbai, India",Completed Advanced Cybersecurity Training,"Olivia Ly is part of the Operations team, based in Mumbai, India, and recently completed advanced cybersecurity training."
Kevin Mai,Legal,"Sydney, Australia",Attended AI for Business Leaders Webinar,"Kevin Mai is part of the Legal team, based in Sydney, Australia, and recently attended ai for business leaders webinar."
Quinn Phan,Customer Success,"Ho Chi Minh City, Vietnam",Completed Advanced Cybersecurity Training,"Quinn Phan is part of the Customer Success team, based in Ho Chi Minh City, Vietnam, and recently completed advanced cybersecurity training."
Rachel Luong,Finance,"Mumbai, India",Participated in Corporate Social Responsibility Event,"Rachel Luong is part of the Finance team, based in Mumbai, India, and recently participated in corporate social responsibility event."
